ResultID,score,x,y,Match_addr,City,Subregion,Postal,PostalExt,IN_Address,IN_City,IN_Postal,walk,bike,transit
91,100,-117.92760915000,34.12793466240,"311 Aerojet Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,3239,311 Aerojet Ave,Azusa,91702,19,35,57
65,100,-117.91622252100,33.85755798030,"400 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1046,400 E Orangethorpe Ave,Anaheim,92801,54,58,40
31,100,-117.90003245600,33.81341301080,"1400 S Allec St, Anaheim, California, 92805",Anaheim,Orange County,92805,6305,1400 S Allec St,Anaheim,92805,35,38,47
74,100,-117.80175598200,33.86283744770,"5325 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2054,5325 E Hunter Ave,Anaheim,92807,58,54,30
10,100,-117.89712267800,33.82118957300,"1051 S East St, Anaheim, California, 92805",Anaheim,Orange County,92805,5749,1051 S East St,Anaheim,92805,46,43,40
11,100,-117.95917516500,33.84731298960,"1111 N Brookhurst St, Anaheim, California, 92801",Anaheim,Orange County,92801,1703,1111 N Brookhurst St,Anaheim,92801,65,53,35
72,100,-117.80362900200,33.85948250720,"5200 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2019,5200 E La Palma Ave,Anaheim,92807,44,63,30
61,100,-117.84848366800,33.85331573140,"3356 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2814,3356 E La Palma Ave,Anaheim,92806,29,60,37
5,100,-117.73057342400,33.58928326680,"22 Brookline, Aliso Viejo, California, 92656",Aliso Viejo,Orange County,92656,1461,22 Brookline,Aliso Viejo,92656,20,39,0
29,100,-117.81164377800,33.86163451890,"1275 N Manassero St, Anaheim, California, 92807",Anaheim,Orange County,92807,,1275 N Manassero St,Anaheim,92807,34,46,30
4,100,-118.15576809400,34.08296537780,"905 Westminster Ave, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1210,905 Westminster Ave,Alhambra,91803,50,41,0
38,100,-117.89196403600,33.81450747780,"1515 E Winston Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,6445,1515 E Winston Rd,Anaheim,92805,48,41,37
16,100,-117.84804537100,33.85712414500,"1200 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1932,1200 N Miller St,Anaheim,92806,25,52,37
44,100,-117.85929699300,33.86454098570,"1650 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1410,1650 N Kraemer Blvd,Anaheim,92806,33,51,33
94,100,-117.93367255400,34.12596948640,"6230 N Irwindale Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,3208,6230 N Irwindale Ave,Azusa,91702,28,38,0
89,97,-117.92482068700,34.13985734140,"1223 W 10th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1223 W 10th Ave,Azusa,91702,30,33,42
87,100,-117.92248979200,34.13630735400,"1055 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2248,1055 W 8th St,Azusa,91702,31,42,44
56,100,-117.85799553500,33.85850676980,"3130 E Miraloma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,1906,3130 Miraloma Ave,Anaheim,92806,33,52,37
45,100,-117.90421502600,33.80629300320,"1730 S Anaheim Way, Anaheim, California, 92805",Anaheim,Orange County,92805,6537,1730 S Anaheim Way,Anaheim,92805,62,43,61
49,100,-117.88906616100,33.79766697710,"2040 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,6116,2040 S State College Blvd,Anaheim,92806,51,51,52
34,100,-117.86123380000,33.86202842640,"1440 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1404,1440 N Kraemer Blvd,Anaheim,92806,36,46,34
75,100,-117.79680018200,33.85986120150,"5425 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2022,5425 E La Palma Ave,Anaheim,92807,52,64,31
85,100,-117.92287909300,34.14298399540,"1000 W Sierra Madre Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,1700,1000 W Sierra Madre Ave,Azusa,91702,29,46,20
100,94,-117.95467703400,34.08637671290,"Virginia Ave, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,13502 Virginia Ave,Baldwin Park,91706,58,56,0
20,100,-117.84809418700,33.85726131910,"1204 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1957,1204 N Miller St,Anaheim,92806,28,47,41
79,100,-117.89949199100,33.81811752160,"901 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5916,901 E Ball Rd,Anaheim,92805,50,45,43
90,100,-117.92838592000,34.13354639160,"1344 W Foothill Blvd, Azusa, California, 91702",Azusa,Los Angeles County,91702,2846,1344 W Foothill Blvd,Azusa,91702,29,18,59
23,100,-117.97388900900,33.85025771980,"1212 N Hubbell Way, Anaheim, California, 92801",Anaheim,Orange County,92801,2634,1212 N Hubbell Way,Anaheim,92801,62,48,42
12,100,-117.86434373700,33.85182823700,"1150 N Red Gum St, Anaheim, California, 92806",Anaheim,Orange County,92806,2530,1150 N Red Gum St,Anaheim,92806,35,55,37
86,100,-117.92120221000,34.12996203830,"1017 W 5th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1017 W 5th St,Azusa,91702,37,46,53
92,98,-117.91252425800,34.13629972100,"500 W Danlee St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2341,500 W Danlee Dr,Azusa,91702,45,55,61
71,100,-117.80394399400,33.85953749240,"5115 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2018,5115 E La Palma Ave,Anaheim,92807,43,52,31
99,100,-117.98235481500,34.09221317340,"13245 Los Angeles St, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,13245 Los Angeles St,Baldwin Park,91706,28,42,0
17,100,-117.89567001100,33.81062753680,"1201 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6414,1201 E Cerritos Ave,Anaheim,92805,34,37,41
32,100,-117.90681887400,33.85500479140,"1415 N Raymond Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,,1415 N Raymond Ave,Anaheim,92801,59,45,29
43,100,-117.89796195800,33.80720038610,"1625 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6437,1625 S Lewis St,Anaheim,92805,40,42,53
33,100,-117.88928752700,33.81210899620,"1423 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,5718,1423 S State College Blvd,Anaheim,92806,46,42,39
50,100,-117.95560296500,33.81778249690,"2114 W Ball Rd, Anaheim, California, 92804",Anaheim,Orange County,92804,5417,2114 W Ball Rd,Anaheim,92804,78,76,31
69,100,-117.91251596000,33.85950253990,"500 E Orangethorpe Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,1021,500 E Orangethorpe Ave,Anaheim,92801,50,54,38
25,100,-117.84002984800,33.86032861840,"1230 N Tustin Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,1617,1230 N Tustin Ave,Anaheim,92807,29,47,36
77,100,-117.90344397400,33.82002398550,"601 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5910,601 E Ball Rd,Anaheim,92805,57,47,47
8,100,-117.89773799400,33.81812753800,"1001 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5918,1001 E Ball Rd,Anaheim,92805,52,45,39
15,100,-117.91976648800,33.85005059940,"1160 N Anaheim Blvd, Anaheim, California, 92801",Anaheim,Orange County,92801,2502,1160 N Anaheim Blvd,Anaheim,92801,72,54,44
22,100,-117.84807379300,33.85691957260,"1211 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1933,1211 N Miller St,Anaheim,92806,22,48,38
19,100,-117.84806977900,33.85719273200,"1202 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1955,1202 N Miller St,Anaheim,92806,22,49,37
30,100,-117.89365240300,33.81449595270,"1331 S Vernon St, Anaheim, California, 92805",Anaheim,Orange County,92805,,1331 S Vernon St,Anaheim,92805,35,38,36
73,100,-117.80344242100,33.86281360120,"5235 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2004,5235 E Hunter Ave,Anaheim,92807,61,52,30
60,100,-117.84995276400,33.85294349110,"3340 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2814,3340 E La Palma Ave,Anaheim,92806,29,67,37
27,100,-117.97616251700,33.85143399420,"1256 N Magnolia Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,2607,1256 N Magnolia Ave,Anaheim,92801,61,48,43
68,100,-117.90224603300,33.81057246770,"500 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6321,500 E Cerritos Ave,Anaheim,92805,49,44,58
42,100,-117.89790253100,33.80767999860,"1620 S Lewis St, Anaheim, California, 92805",Anaheim,Orange County,92805,6436,1620 S Lewis St,Anaheim,92805,35,38,51
98,100,-117.98368812400,34.06556333140,"1100 Baldwin Park Blvd, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,,1100 Baldwin Park Blvd,Baldwin Park,91706,44,53,0
67,100,-117.81236319700,33.86401464410,"4875 E Hunter Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2005,4875 E Hunter Ave,Anaheim,92807,57,49,23
2,100,-118.15469319800,34.07905748300,"2801 W Mission Rd, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1223,2801 W Mission Rd,Alhambra,91803,54,45,0
26,100,-117.84815501300,33.85714789570,"1231 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1900,1231 N Miller St,Anaheim,92806,29,50,38
41,100,-117.86185380900,33.86375534990,"1600 N Kraemer Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,1410,1600 N Kraemer Blvd,Anaheim,92806,47,55,33
93,100,-117.92532090900,34.11146858430,"601 S Vincent Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,5102,601 S Vincent Ave,Azusa,91702,48,38,31
88,100,-117.92400604000,34.12724751710,"1100 W Hollyvale St, Azusa, California, 91702",Azusa,Los Angeles County,91702,,1100 W Hollyvale St,Azusa,91702,29,36,56
66,100,-117.81545896900,33.85953745050,"4633 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,1909,4633 E La Palma Ave,Anaheim,92807,35,55,30
95,100,-117.91739773100,34.13612735260,"823 W 8th St, Azusa, California, 91702",Azusa,Los Angeles County,91702,2247,823 W 8th St,Azusa,91702,45,51,57
84,100,-117.99606216000,34.09148199420,"12389 Lower Azusa Rd, Arcadia, California, 91006",Arcadia,Los Angeles County,91006,5889,12389 Lower Azusa Rd,Arcadia,91006,29,53,0
52,100,-117.88574600500,33.81065750210,"2201 E Cerritos Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,5710,2201 E Cerritos Ave,Anaheim,92806,38,42,43
18,100,-117.97620216300,33.84969001350,"1201 N Magnolia Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,2609,1201 N Magnolia Ave,Anaheim,92801,60,47,43
96,100,-117.92133782900,34.14249956340,"970 W Sierra Madre Ave, Azusa, California, 91702",Azusa,Los Angeles County,91702,1873,970 W Sierra Madre Ave,Azusa,91702,21,38,27
14,99,-117.84959692700,33.85443901770,"1153 Ocean Cir, Anaheim, California, 92806",Anaheim,Orange County,92806,,1153 N Ocean Cir,Anaheim,92806,22,48,38
48,100,-117.88929741700,33.80071798980,"1919 S State College Blvd, Anaheim, California, 92806",Anaheim,Orange County,92806,6114,1919 S State College Blvd,Anaheim,92806,53,47,50
76,100,-117.79411663200,33.86208253160,"5455 E La Palma Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,2006,5455 E La Palma Ave,Anaheim,92807,50,63,31
37,100,-117.89302595800,33.81067180790,"1501 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6400,1501 E Cerritos Ave,Anaheim,92805,35,40,38
101,100,-117.97619738500,34.06681135490,"1450 Virginia Ave, Baldwin Park, California, 91706",Baldwin Park,Los Angeles County,91706,5819,1450 Virginia Ave,Baldwin Park,91706,63,57,0
7,100,-117.86457985500,33.84778124460,"1000 N Edward Ct, Anaheim, California, 92806",Anaheim,Orange County,92806,2601,1000 N Edward Ct,Anaheim,92806,45,60,36
59,100,-117.85013978600,33.85298492280,"3335 E La Palma Ave, Anaheim, California, 92806",Anaheim,Orange County,92806,2815,3335 E La Palma Ave,Anaheim,92806,29,59,37
55,100,-117.85694260100,33.85501985620,"3125 E Coronado St, Anaheim, California, 92806",Anaheim,Orange County,92806,1915,3125 E Coronado St,Anaheim,92806,33,52,37
150,100,-117.86117898200,33.91555500860,"250 S Kraemer Blvd, Brea, California, 92821",Brea,Orange County,92821,,250 S Kraemer Blvd,Brea,92821,28,53,0
160,100,-117.85731084300,33.91399252130,"408 Saturn St, Brea, California, 92821",Brea,Orange County,92821,,408 Saturn St,Brea,92821,40,50,0
9,100,-117.89946902400,33.82117000120,"1045 S East St, Anaheim, California, 92805",Anaheim,Orange County,92805,5749,1045 S East St,Anaheim,92805,54,45,37
102,100,-116.89551098100,33.92162744600,"1777 W Lincoln St, Banning, California, 92220",Banning,Riverside County,92220,4218,1777 W Lincoln St,Banning,92220,24,27,0
