ResultID,score,x,y,Match_addr,City,Subregion,Postal,PostalExt,IN_Address,IN_City,IN_Postal
1,100,-118.15384017200,34.08365537600,"1000 S Meridian Ave, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1215,1000 Meridian Ave,Alhambra,91803
2,100,-118.15469319800,34.07905748300,"2801 W Mission Rd, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1223,2801 W Mission Rd,Alhambra,91803
3,100,-118.15958647000,34.07857455970,"3201 W Mission Rd, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1113,3201 W Mission Rd,Alhambra,91803
4,100,-118.15576809400,34.08296537780,"905 Westminster Ave, Alhambra, California, 91803",Alhambra,Los Angeles County,91803,1210,905 Westminster Ave,Alhambra,91803
5,100,-117.73057342400,33.58928326680,"22 Brookline, Aliso Viejo, California, 92656",Aliso Viejo,Orange County,92656,1461,22 Brookline,Aliso Viejo,92656
6,100,-117.89691497500,33.81807251080,"1000 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5917,1000 E Ball Rd,Anaheim,92805
7,100,-117.86457985500,33.84778124460,"1000 N Edward Ct, Anaheim, California, 92806",Anaheim,Orange County,92806,2601,1000 N Edward Ct,Anaheim,92806
8,100,-117.89773799400,33.81812753800,"1001 E Ball Rd, Anaheim, California, 92805",Anaheim,Orange County,92805,5918,1001 E Ball Rd,Anaheim,92805
9,100,-117.89946902400,33.82117000120,"1045 S East St, Anaheim, California, 92805",Anaheim,Orange County,92805,5749,1045 S East St,Anaheim,92805
10,100,-117.89712267800,33.82118957300,"1051 S East St, Anaheim, California, 92805",Anaheim,Orange County,92805,5749,1051 S East St,Anaheim,92805
11,100,-117.95917516500,33.84731298960,"1111 N Brookhurst St, Anaheim, California, 92801",Anaheim,Orange County,92801,1703,1111 N Brookhurst St,Anaheim,92801
12,100,-117.86434373700,33.85182823700,"1150 N Red Gum St, Anaheim, California, 92806",Anaheim,Orange County,92806,2530,1150 N Red Gum St,Anaheim,92806
13,99,-117.84958643400,33.85440903310,"1151 Ocean Cir, Anaheim, California, 92806",Anaheim,Orange County,92806,,1151 N Ocean Cir,Anaheim,92806
14,99,-117.84959692700,33.85443901770,"1153 Ocean Cir, Anaheim, California, 92806",Anaheim,Orange County,92806,,1153 N Ocean Cir,Anaheim,92806
15,100,-117.91976648800,33.85005059940,"1160 N Anaheim Blvd, Anaheim, California, 92801",Anaheim,Orange County,92801,2502,1160 N Anaheim Blvd,Anaheim,92801
16,100,-117.84804537100,33.85712414500,"1200 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1932,1200 N Miller St,Anaheim,92806
17,100,-117.89567001100,33.81062753680,"1201 E Cerritos Ave, Anaheim, California, 92805",Anaheim,Orange County,92805,6414,1201 E Cerritos Ave,Anaheim,92805
18,100,-117.97620216300,33.84969001350,"1201 N Magnolia Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,2609,1201 N Magnolia Ave,Anaheim,92801
19,100,-117.84806977900,33.85719273200,"1202 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1955,1202 N Miller St,Anaheim,92806
20,100,-117.84809418700,33.85726131910,"1204 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1957,1204 N Miller St,Anaheim,92806
21,100,-117.84813455100,33.85737176920,"1206 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1959,1206 N Miller St,Anaheim,92806
22,100,-117.84807379300,33.85691957260,"1211 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1933,1211 N Miller St,Anaheim,92806
23,100,-117.97388900900,33.85025771980,"1212 N Hubbell Way, Anaheim, California, 92801",Anaheim,Orange County,92801,2634,1212 N Hubbell Way,Anaheim,92801
24,100,-117.91373133600,33.85159664500,"1226 N Olive St, Anaheim, California, 92801",Anaheim,Orange County,92801,2543,1226 N Olive St,Anaheim,92801
25,100,-117.84002984800,33.86032861840,"1230 N Tustin Ave, Anaheim, California, 92807",Anaheim,Orange County,92807,1617,1230 N Tustin Ave,Anaheim,92807
26,100,-117.84815501300,33.85714789570,"1231 N Miller St, Anaheim, California, 92806",Anaheim,Orange County,92806,1900,1231 N Miller St,Anaheim,92806
27,100,-117.97616251700,33.85143399420,"1256 N Magnolia Ave, Anaheim, California, 92801",Anaheim,Orange County,92801,2607,1256 N Magnolia Ave,Anaheim,92801
