Match_addr,x,IN_City,score,IN_Address,IN_Postal,Subregion,y,Postal,PostalExt,ResultID,City
"6905 Aragon Cir, Buena Park, California, 90620",-118.02127702100,Buena Park,100,6905 Aragon Cir,90620,Orange County,33.86272521400,90620,1118,197,Buena Park
"315 W Resource Dr, Bloomington, California, 92316",-117.37572984300,Bloomington,100,315 W Resource Dr,92316,San Bernardino County,34.04127826700,92316,,135,Bloomington
"895 Columbia St, Brea, California, 92821",-117.91117099900,Brea,100,895 Columbia St,92821,Orange County,33.93038883990,92821,2917,163,Brea
"18655 Bishop Ave, Carson, California, 90746",-118.24122562000,Carson,99,18655 S Bishop Ave,90746,Los Angeles County,33.86118797300,90746,4028,260,Carson
"300 E Cypress St, Brea, California, 92821",-117.89489728300,Brea,100,300 E Cypress St,92821,Orange County,33.92285552060,92821,,155,Brea
"12050 Agua Mansa Rd, Jurupa Valley, California, 92509",-117.37408825400,Bloomington,98,12050 Agua Mansa Rd,92316,San Bernardino County,34.03095236600,92509,,127,Jurupa Valley
"20444 S Reeves Ave, Long Beach, California, 90810",-118.22769102600,Carson,99,20444 Reeves Ave,90810,Los Angeles County,33.84525246630,90810,1011,267,Long Beach
"250 S Kraemer Blvd, Brea, California, 92821",-117.86117898200,Brea,100,250 S Kraemer Blvd,92821,Orange County,33.91555500860,92821,,150,Brea
"5630 Rickenbacker Rd, Bell Gardens, California, 90201",-118.16358825800,Bell,100,5630 Rickenbacker Rd,90201,Los Angeles County,33.98929628160,90201,6412,120,Bell Gardens
"2701 E Imperial Hwy, Brea, California, 92821",-117.86260080400,Brea,100,2701 E Imperial Hwy,92821,Orange County,33.91117781120,92821,6713,152,Brea
"21900 S Wilmington Ave, Long Beach, California, 90810",-118.24016422000,Carson,100,21900 S Wilmington Ave,90810,Los Angeles County,33.82969129540,90810,1634,285,Long Beach
"114 S Berry St, Brea, California, 92821",-117.90683059900,Brea,100,114 S Berry St,92821,Orange County,33.92061478640,92821,4826,145,Brea
"1380 Charles Willard St, Carson, California, 90746",-118.24620547600,Carson,100,1380 Charles Willard St,90746,Los Angeles County,33.86472802790,90746,4022,238,Carson
